エリア,世帯,トリップ,出発時間,到着時間,代表交通手段,交通モード,移動時間,,,,
0,0,0,0,401,0,0,2,,0,車,
0,0,1,0,0,0,0,2,,1,公共交通,
0,0,2,0,0,0,0,2,,2,バイク,
0,1,0,0,479,2,2,12,,3,徒歩,
0,1,1,0,0,0,0,3,,,,
0,1,2,0,0,0,0,2,,,,
0,2,0,0,481,2,2,8,,,,
0,2,1,0,0,0,0,2,,,,
1,0,0,0,491,0,0,3,,,,
1,0,1,0,0,0,0,3,,,,
1,1,0,0,0,0,0,2,,,,
1,1,1,0,0,0,0,1,,,,
2,0,0,0,531,0,0,2,,,,
2,0,1,0,0,0,0,2,,,,
2,1,0,0,405,0,0,2,,,,
2,1,1,0,0,0,0,2,,,,
3,0,0,0,0,0,0,1,,,,
3,0,1,0,0,0,0,1,,,,
3,1,0,0,433,0,0,2,,,,
3,1,1,0,0,0,0,2,,,,
3,2,0,0,445,0,0,2,,,,
3,2,1,0,0,0,0,2,,,,
3,2,2,0,0,0,0,2,,,,
3,3,0,0,404,2,2,4,,,,
3,3,1,0,1311,0,0,2,,,,
3,3,2,0,0,0,0,1,,,,
3,3,3,0,0,0,0,2,,,,
4,1,0,0,450,3,3,5,,,,
4,1,1,0,0,0,0,1,,,,
5,0,0,0,497,2,2,4,,,,
5,0,1,0,0,0,0,1,,,,
5,0,2,0,0,0,0,2,,,,
6,0,0,0,0,1,3,1,3,2,4,2
6,0,1,0,0,0,0,2,,,,
6,0,2,0,0,0,0,2,,,,
7,0,0,0,481,2,2,8,,,,
7,0,1,0,0,0,0,1,,,,
7,0,2,0,0,0,0,1,,,,
8,0,0,0,475,0,0,2,,,,
8,0,1,0,0,0,0,3,,,,
8,0,2,0,0,0,0,3,,,,
9,0,0,0,0,1,3,1,3,2,4,2
9,0,1,0,0,0,0,1,,,,
9,0,2,0,0,0,0,3,,,,
10,0,0,0,428,0,0,1,,,,
10,0,1,0,0,0,0,1,,,,
11,0,0,0,446,3,3,10,,,,
11,0,1,0,0,0,0,2,,,,
12,0,0,0,433,0,0,2,,,,
12,0,1,0,0,0,0,2,,,,
13,0,0,0,0,3,3,5,,,,
13,0,1,0,0,0,0,1,,,,
13,1,0,0,465,0,0,2,,,,
13,1,1,0,0,0,0,2,,,,
14,0,0,0,529,2,2,12,,,,
14,0,1,0,0,0,0,3,,,,
15,0,0,0,451,0,0,2,,,,
15,0,1,0,0,0,0,2,,,,
16,0,0,0,0,3,3,5,,,,
16,0,1,0,0,0,0,2,,,,
16,0,2,0,0,0,0,1,,,,
16,1,0,0,0,0,0,2,,,,
16,1,1,0,0,0,0,2,,,,
16,1,2,0,0,0,0,2,,,,
16,2,0,0,471,2,2,8,,,,
16,2,1,0,0,0,0,2,,,,
16,3,0,0,422,3,3,10,,,,
16,3,1,0,0,0,0,3,,,,
16,3,2,0,0,0,0,3,,,,
17,0,0,0,443,0,0,1,,,,
17,0,1,0,0,0,0,1,,,,
17,1,0,0,416,2,2,12,,,,
17,1,1,0,0,0,0,3,,,,
17,1,2,0,0,0,0,2,,,,
17,2,0,0,480,3,3,10,,,,
17,2,1,0,0,0,0,2,,,,
18,0,0,0,489,0,0,1,,,,
18,0,1,0,0,0,0,1,,,,
18,1,0,0,420,2,2,8,,,,
18,1,1,0,0,0,0,2,,,,
19,0,0,0,485,3,3,5,,,,
